match_id,season,team1,team2,toss_winner,toss_decision,winner,rcb_won,opposition,rcb_batting_first,virat_runs,virat_balls,virat_out_over,virat_dismissed,virat_strike_rate,virat_run_category
7946,2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,0,Rajasthan Royals,0,4.0,9.0,3.0,1.0,44.44,0-10
11137,2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,0,Chennai Super Kings,1,7.0,12.0,4.0,1.0,58.33,0-10
11143,2019,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Mumbai Indians,0,Mumbai Indians,0,47.0,33.0,14.0,1.0,142.42,31-50
11147,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,0,Sunrisers Hyderabad,0,3.0,10.0,7.0,1.0,30.0,0-10
11150,2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,Rajasthan Royals,1,25.0,26.0,7.0,1.0,96.15,11-30
11153,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,Kolkata Knight Riders,1,84.0,49.0,18.0,1.0,171.43,50+
11311,2019,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,0,Delhi Capitals,1,42.0,33.0,18.0,1.0,127.27,31-50
11319,2019,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Kings XI Punjab,0,68.0,54.0,16.0,1.0,125.93,50+
11322,2019,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,Mumbai Indians,1,9.0,10.0,3.0,1.0,90.0,0-10
11326,2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,1,Kolkata Knight Riders,1,100.0,58.0,20.0,1.0,172.41,50+
11330,2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,1,Chennai Super Kings,1,9.0,8.0,3.0,1.0,112.5,0-10
11333,2019,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,1,Kings XI Punjab,1,13.0,8.0,4.0,1.0,162.5,11-30
11337,2019,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,0,Delhi Capitals,0,24.0,17.0,8.0,1.0,141.18,11-30
11340,2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,,0,Rajasthan Royals,1,25.0,7.0,2.0,1.0,357.14,11-30
11345,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,1,Sunrisers Hyderabad,0,16.0,7.0,2.0,1.0,228.57,11-30
